Number_round;Date & Time;Player1;Player2;Score
4 Round;20.01.2019 8:00;Fransis Tiafoe;Grigor Dimitrov;3:1, 7-5, 7-6, 6-7, 7-5
4 Round;20.01.2019 9:00;Tomas Berdych;Rafael Nadal;0:3, 0-6, 1-6, 6-7
4 Round;20.01.2019 10:00;Marin Cilic;Roberto Bautista-Agut ;2:3, 7-6, 3-6, 2-6, 6-4, 4-6
4 Round;20.01.2019 11:00;Stefanos Tsitsipas;Rodjer Federer;3:1, 6-7, 7-6, 7-5, 7-6
4 Round;20.01.2019 12:00;Alexander Zverev;Milos Raonic;0:3, 1-6, 1-6, 6-7
4 Round;20.01.2019 13:00;Borna Coric;Lucas Puile;1:3, 7-6, 4-6, 5-7, 6-7
4 Round;20.01.2019 14:00;Pablo Karreno-Busta;Key Nisikori;2:3, 7-6, 6-4, 6-7, 4-6, 6-7
4 Round;20.01.2019 15:00;Novak Djokovic;Daniil Medvedev;3:1, 6-4, 6-7, 6-2, 6-3
1/4 Finals;22.01.2019 6:00;Roberto Bautista-Agut ;Stefanos Tsitsipas;1:3, 5-7, 6-4, 4-6, 6-7
1/4 Finals;22.01.2019 7:00;Fransis Tiafoe;Rafael Nadal;0:3, 3-6, 4-6, 2-6
1/4 Finals;22.01.2019 8:00;Milos Raonic;Lucas Puile;1:3, 6-7, 3-6, 7-6, 4-6
1/4 Finals;22.01.2019 9:00;Novak Djokovic;Key Nisikori;3:0, 6-1, 4-1, -Rt
1/2 Finals;24.01.2019 9:00;Stefanos Tsitsipas;Rafael Nadal;0:3, 2-6, 4-6, 0-6
1/2 Finals;25.01.2019 9:00;Novak Djokovic;Lucas Puile;3:0, 6-0, 6-2, 6-2
Finals;27.01.2019 9:00;Novak Djokovic;Rafael Nadal;3:0, 6-3, 6-2, 6-3
