Number_round;Date & Time;Player1;Player2;Score
4 Round;01-09-2019 08:00;Rodjer Federer;David Goffen;3:0, 6-2, 6-2, 6-0
4 Round;01-09-2019 09:00;Grigor Dimitrov;Alex De Minaur;3:0, 7-5, 6-3, 6-4
4 Round;01-09-2019 10:00;Dominick Kepfer;Daniil Medvedev;1:3, 6-3, 3-6, 2-6, 6-7
4 Round;01-09-2019 11:00;Novak Djokovic;Stan Wawrinka;0:3, 4-6, 5-7, 1-2, Rt- 
4 Round;01-09-2019 12:00;Alexander Zverev;Diego Shwarzman;1:3, 6-3, 2-6, 4-6, 3-6
4 Round;01-09-2019 13:00;Andrey Rublev;Matteo Berettini;0:3, 1-6, 4-6, 6-7
4 Round;01-09-2019 14:00;Gael Monfis;Pablo Anduhar;3:0, 6-1, 6-2, 6-2
4 Round;01-09-2019 05:00;Marin Cilic;Rafael Nadal;1:3, 3-6, 6-3, 1-6, 2-6
1/4 Finals;03-09-2019 06:00;Stan Wawrinka;Daniil Medvedev;1:3, 6-7, 3-6, 6-3, 1-6
1/4 Finals;03-09-2019 07:00;Rodjer Federer;Grigor Dimitrov;2:3, 6-3, 4-6, 6-3, 4-6, 2-6
1/4 Finals;04-09-2019 08:00;Matteo Berettini;Gael Monfis;3:2, 3-6, 6-3, 6-2, 3-6, 7-6
1/4 Finals;04-09-2019 09:00;Diego Shwarzman;Rafael Nadal;0:3, 4-6, 5-7, 2-6
1/2 Finals;06-09-2019 09:00;Daniil Medvedev;Grigor Dimitrov;3:0, 7-6, 6-4, 6-3
1/2 Finals;07-09-2019 09:00;Matteo Berettini;Rafael Nadal;0:3, 6-7, 4-6, 1-6
Finals;08-09-2019 09:00;Daniil Medvedev;Rafael Nadal;2:3, 5-7, 3-6, 7-5, 6-4, 4-6
