Number_round;Date & Time;Player1;Player2;Score
4 Round;08-07-2019 08:00;Juan Souza;Rafael Nadal;0:3, 2-6, 2-6, 2-6
4 Round;08-07-2019 09:00;David Goffen;Fernando Verdasco;3:1, 7-6, 2-6, 6-3, 6-4
4 Round;08-07-2019 10:00;Roberto Bautista-Agut ;Benault Paire;3:0, 6-3, 7-5, 6-2
4 Round;08-07-2019 11:00;Sam Querry;Tennis Sandgren;3:1, 6-4, 6-7, 7-6, 7-6
4 Round;08-07-2019 12:00;Novak Djokovic;Ugo Umber;3:0, 6-3, 6-2, 6-3
4 Round;08-07-2019 13:00;Guido Pellia;Milos Raonic;3:2, 3-6, 4-6, 6-3, 7-6, 8-6
4 Round;08-07-2019 14:00;Key Nisikori;Mikhail Kukushkin;3:1, 6-3, 3-6, 6-3, 6-4
4 Round;08-07-2019 05:00;Matteo Berettini;Rodjer Federer;0:3, 1-6, 2-6, 2-6
1/4 Finals;10-07-2019 06:00;Novak Djokovic;David Goffen;3:0, 6-4, 6-0, 6-2
1/4 Finals;10-07-2019 07:00;Guido Pellia;Roberto Bautista-Agut ;1:3, 5-7, 4-6, 6-3, 3-6
1/4 Finals;10-07-2019 08:00;Key Nisikori;Rodjer Federer;1:3, 6-4, 1-6, 4-6, 4-6
1/4 Finals;10-07-2019 09:00;Sam Querry;Rafael Nadal;0:3, 5-7, 2-6, 2-6
1/2 Finals;12-07-2019 09:00;Novak Djokovic;Roberto Bautista-Agut ;3:1, 6-2, 4-6, 6-3, 6-2
1/2 Finals;12-07-2019 09:00;Rafael Nadal;Rodjer Federer;1:3, 6-7, 6-1, 3-6, 4-6
Finals;14-07-2019 09:00;Novak Djokovic;Rodjer Federer;3:2, 7-6, 1-6, 7-6, 4-6, 13-12
